timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
16282701,-0.0013273983,-0.0014947852,-0.00011617872,4110,0,-0.016148355,-0.03286717,-9.770309,4110,0
16286688,-0.00057783263,-0.0011107535,-0.0010208088,3987,0,0.021353595,-0.060593072,-9.787639,3987,0
16290712,-0.0028168058,0.0007047468,-0.001680983,4024,0,0.0671534,-0.040808506,-9.803873,4024,0
16294657,-0.0029687497,0.001484211,0.0010762683,3945,0,0.035496492,-0.01413965,-9.804825,3945,0
16298657,0.0009899965,0.0018625151,0.0023558736,4000,0,0.030493781,-0.017937688,-9.765808,4000,0
16302337,0.0026293332,0.0002042939,0.0022660904,3680,0,0.04173069,-0.02452159,-9.770415,3680,0
16306457,0.0016661743,0.000558398,0.0044968603,4120,0,0.021329608,-0.018964684,-9.78438,4120,0
16310603,0.00017771841,0.0007024801,0.0031917545,4146,0,0.031194992,-0.00367312,-9.796202,4146,0
16314523,-0.004284103,0.00014134683,-0.000300738,3920,0,-0.0070328657,-0.010173522,-9.801346,3920,0
16318542,-0.004188821,0.0048654983,-0.00080638507,4019,0,-0.059054896,-0.007144756,-9.773503,4019,0
16322640,0.00042301207,0.005095132,0.0010568945,4098,0,-0.037812296,-0.017527174,-9.761385,4098,0
16326594,-0.00081935106,-0.0036646938,0.0013654889,3954,0,-0.002061041,-0.023953242,-9.767796,3954,0
16330600,0.0034976448,-0.005592215,-0.00010892614,4006,0,0.014687361,-0.029160902,-9.767679,4006,0
16334978,0.00571792,0.00071876583,9.7735356e-05,4378,0,0.012070471,-0.03096592,-9.792362,4378,0
16338847,0.0018145761,-0.00011370465,0.001739092,3869,0,0.020778483,-0.0020889854,-9.820289,3869,0
16342676,0.0014066157,1.4799855e-06,0.0023474959,3829,0,0.0122048855,-0.016049314,-9.77453,3829,0
16346744,0.0003828407,4.598849e-05,0.0019036,4068,0,0.023335995,-0.05642513,-9.784688,4068,0
16350933,0.00069519854,-0.0005592888,-0.00040739778,4189,0,0.035566702,-0.039343443,-9.829012,4189,0
16354552,0.0018607927,0.0014652438,0.0017404193,3619,0,0.024772292,-0.02081825,-9.807817,3619,0
16358328,0.0016451436,0.00089196535,0.0037138893,3776,0,0.02270384,-0.03167454,-9.782108,3776,0
16362585,0.00061349326,-0.00060455885,0.0016456466,4257,0,0.0049928986,-0.046919186,-9.782593,4257,0
16366659,-0.0022822334,-0.00063157734,-0.00014642792,4074,0,-0.004016055,-0.03744055,-9.805868,4074,0
16370749,-0.005156163,-0.000714903,-0.00019534721,4090,0,0.016971767,-0.029338792,-9.784049,4090,0
16374835,-0.005041025,-0.0014004884,0.0003241616,4086,0,0.060009014,-0.040665656,-9.792706,4086,0
16378592,-0.0036773935,0.0009443298,-0.0019281332,3757,0,0.05174364,-0.031916164,-9.796475,3757,0
16382631,-0.0011301473,0.002099248,-0.00035634558,4039,0,0.023083584,-0.027880762,-9.785304,4039,0
16386573,0.0028519589,0.00027999657,0.0029706873,3942,0,0.033583693,-0.017050868,-9.787397,3942,0
16390342,0.0013037232,0.0027509576,0.0036691516,3769,0,0.018514398,-0.019232398,-9.769638,3769,0
16394675,-0.0004949803,0.0054465705,0.001323344,4333,0,0.0104153585,-0.05809945,-9.782361,4333,0
16398541,0.0018561343,0.002872143,-0.00028248562,3866,0,0.04545612,-0.07178794,-9.780951,3866,0
16402659,0.0029347218,-0.0005848287,-0.0008938798,4118,0,0.048959922,-0.05520003,-9.7882395,4118,0
16406748,-0.001448036,-0.0022205717,-0.0012145414,4089,0,0.049383897,-0.056125376,-9.796204,4089,0
16410720,-0.003584457,-0.0010104239,0.0023738914,3972,0,0.049079046,-0.03964088,-9.812574,3972,0
16414716,-7.12904e-05,0.002139203,-2.3048604e-05,3996,0,0.038295973,-0.011186145,-9.8336735,3996,0
16419060,0.0015190124,-0.0009740846,-0.001807229,4344,0,0.010965208,-0.033376943,-9.81685,4344,0
16422957,-0.001452585,0.00010832557,0.0009414722,3897,0,-0.0030764663,-0.024838598,-9.803929,3897,0
16426966,-0.0006299494,0.003370272,0.001674026,4009,0,-0.012683747,-0.024699783,-9.799423,4009,0
16430856,0.0039037077,-0.0010860835,0.0020978923,3890,0,0.0015838572,-0.025091434,-9.790615,3890,0
16434723,0.003463449,-0.001966452,0.00020420541,3867,0,0.024742698,0.008896294,-9.775509,3867,0
16438772,0.0021598607,-0.0012843631,-0.00017285069,4049,0,0.0068538934,-0.014106835,-9.782141,4049,0
